# RS;CS;LS;MS;PS
5.144938259967948291e-01;5.793802431897445704e-01;5.922886228673769349e-01;4.681633518710527353e-01;5.293651616551984240e-01
5.080520710059174272e-01;5.365969756738990792e-01;5.889293885601580847e-01;5.038799474030242198e-01;5.652984878369493593e-01
4.989493366285120968e-01;6.111300078043704342e-01;6.692621618106141534e-01;5.127926638917792435e-01;5.655837018730488497e-01
5.171493980206102181e-01;5.379856647280889526e-01;6.220948117539024658e-01;5.240893786348329586e-01;5.709567901234567922e-01
4.689622142951513917e-01;6.269586471132250205e-01;6.148789470207426389e-01;4.970176047033953437e-01;5.461517373497161154e-01
5.129384566326529171e-01;4.844136639030612868e-01;6.470360331632651896e-01;5.389174107142855608e-01;5.414532844387756061e-01
4.753092737629050490e-01;5.801699893200426006e-01;5.975983446066217564e-01;5.356906372374512504e-01;5.288777144891420035e-01
5.063550323176364554e-01;5.546237303785780393e-01;6.337792397660817478e-01;5.000000000000000000e-01;5.159541397353031300e-01
5.047064035916825064e-01;7.131007797731568898e-01;7.160497400756146158e-01;5.495717155009451904e-01;5.728957939508505515e-01
5.128227043611658376e-01;6.405004017824529328e-01;6.230995689970051377e-01;5.496683468478340551e-01;5.243892906713422120e-01
5.078083270345175038e-01;5.913003905265812321e-01;6.337969261778784169e-01;5.779960317460317576e-01;5.612333081380702637e-01
4.700667030351122211e-01;5.500071910335253556e-01;5.883101071216029210e-01;5.573841995635786528e-01;5.480765225153736431e-01
4.964608577806122747e-01;6.672548628826528994e-01;6.652666613520407113e-01;4.947983099489793868e-01;5.438006218112242385e-01
4.750614766039275016e-01;5.127227434298700093e-01;6.060745294563254504e-01;5.709396305576600605e-01;5.411619369500610954e-01
5.109279762251616175e-01;6.085225219975527455e-01;6.042075053901289072e-01;5.656905192005129424e-01;5.846620243575546549e-01
4.699758584807491313e-01;5.274971904266387845e-01;5.839352757544225003e-01;5.371046826222684034e-01;5.196191467221644711e-01
4.975335207612457955e-01;5.751713884083047290e-01;6.330939121972316563e-01;5.621647923875431330e-01;5.299102508650519461e-01
5.025570839830697523e-01;5.138293606593895557e-01;5.906011918021829565e-01;5.000000000000000000e-01;5.140137001559367258e-01
5.476145352024432977e-01;6.076626987234708954e-01;6.369112694807734787e-01;5.661762863184274241e-01;5.142787219046126568e-01
4.891918367346938523e-01;6.030757369614512253e-01;6.952952380952381883e-01;5.420027210884353908e-01;5.496349206349208094e-01
5.118131687242799543e-01;6.015807956104254339e-01;6.515541838134432107e-01;4.988038408779148503e-01;5.403950617283947988e-01
4.902662174659797589e-01;5.847739133306909531e-01;6.090991214163032907e-01;4.797787026027215407e-01;4.946158673536794614e-01
5.116590527200166605e-01;5.029219176643561218e-01;6.355828607435413113e-01;4.870263600084016042e-01;5.032122978365891619e-01
5.303104938271605562e-01;5.247611111111111226e-01;6.158777777777779683e-01;5.375740740740738710e-01;5.200450617283949306e-01
5.064044304125046025e-01;5.322025904456292311e-01;5.146934682469850308e-01;5.306585451063610126e-01;5.385877413177371231e-01
5.076249080914533307e-01;6.182120724064283923e-01;5.984177724869579329e-01;5.000000000000000000e-01;5.696356920275900126e-01
5.140401918500893119e-01;5.145268813206423930e-01;4.980915377751338191e-01;4.905686719214752967e-01;5.121767177275430294e-01
4.990323837868478885e-01;5.016363732993196489e-01;5.327019557823128304e-01;5.219699546485260244e-01;4.964593962585033826e-01
4.733198487712664826e-01;5.443916824196598503e-01;6.356328922495275702e-01;4.581992438563327052e-01;5.479315689981095749e-01
5.152669477138978049e-01;5.154843820733365778e-01;5.302873189225892903e-01;4.920542383431418254e-01;5.165582559981892752e-01
5.099914087058448064e-01;5.119647423943735065e-01;5.674370637753741731e-01;4.847601097554477545e-01;5.442674756247003476e-01
5.040765739350722141e-01;5.113356164383562330e-01;5.522145336836178364e-01;4.787408519422030051e-01;5.605310564833927423e-01
4.870464576731553530e-01;5.143311453146220957e-01;5.157499151199638199e-01;4.942498019465820236e-01;4.984493832050702067e-01
5.126192125313017156e-01;5.558609941925516384e-01;5.963849965368425154e-01;5.000000000000000000e-01;5.752251052267035591e-01
4.951307232049944607e-01;5.119254032258065967e-01;6.006347554630594443e-01;5.468639438085327598e-01;5.547031087408946792e-01
4.876920154886776326e-01;4.665716596412117223e-01;5.207099794137829418e-01;5.731047201254778622e-01;5.457708803058524127e-01
5.067184749258084597e-01;6.249590060862130203e-01;5.914747749107186481e-01;6.028054423821741503e-01;5.818261153865500468e-01
5.122353496102963755e-01;6.096309606702454698e-01;6.049626019181956194e-01;6.029020013027560632e-01;6.053176029289548676e-01
5.192912075298435903e-01;6.309024908172634616e-01;6.240358126721763377e-01;6.240185950413223992e-01;5.735729453627181895e-01
5.002510000000001122e-01;6.260483749999997682e-01;5.993179999999999064e-01;6.193821249999998946e-01;6.051294999999999868e-01
5.106873702422146666e-01;6.165904844290656106e-01;5.674923875432525966e-01;4.566496539792388454e-01;6.190622837370242104e-01
5.386026000976562589e-01;6.115942382812500355e-01;6.076177978515624467e-01;5.134561157226562589e-01;5.483203125000000178e-01
4.955603550295858417e-01;6.259553254437869585e-01;5.754455621301776125e-01;5.171514792899408741e-01;5.577174556213015943e-01
5.090512772174570211e-01;6.432331039683287788e-01;6.234140823828824285e-01;5.622226411537374346e-01;6.048576680177206732e-01
4.887455000000000549e-01;6.555054999999999632e-01;6.892320000000001778e-01;5.314039999999998765e-01;6.171225000000000183e-01
5.024911153119092644e-01;5.227349716446125782e-01;6.067965973534973356e-01;5.554427221172023588e-01;5.737546313799621878e-01
5.098984797469645613e-01;5.060233649627589037e-01;6.019166411590657351e-01;6.185935108662383719e-01;5.042046729925516724e-01
5.012570934256054267e-01;4.660998269896194923e-01;6.175359861591694921e-01;6.230880622837369209e-01;5.362771626297579974e-01
5.137684911242602626e-01;6.791373890532547142e-01;6.232599852071005753e-01;6.169105954142013459e-01;5.761048446745561380e-01
5.134111040249430546e-01;6.338793225623582384e-01;6.442191043083899116e-01;6.247121244331063084e-01;6.257929421768706479e-01
5.089591906721536718e-01;6.823778292181068572e-01;7.067935528120714572e-01;6.565033436213990603e-01;6.298289609053496774e-01
5.284194159004867997e-01;6.546129664683613125e-01;6.705775081124930592e-01;6.609895551649540568e-01;6.363027312060574037e-01
4.789971433518002142e-01;4.911487188365651346e-01;5.724816049168977017e-01;5.000000000000000000e-01;5.889703081717448940e-01
5.179781317749082570e-01;6.416990291262136825e-01;5.901314921293241422e-01;5.550598548402301269e-01;5.974205862946555534e-01
4.961301724950515357e-01;5.998086530304459485e-01;5.698647374870393634e-01;5.209557922518616158e-01;5.714445282307476504e-01
5.019584775086507467e-01;6.726096885813145354e-01;7.048519031141868840e-01;5.980761245674738324e-01;6.382339100346018368e-01
5.266508030933967355e-01;6.776873884592506947e-01;7.081357822724571038e-01;5.856097560975608296e-01;6.062209994051159789e-01
5.129830529633905289e-01;6.473803876283509284e-01;6.810553665615926011e-01;5.802829187603383287e-01;6.440716581879465386e-01
5.032397842056932635e-01;6.029318755739211388e-01;6.017444329660238678e-01;5.554017447199263158e-01;5.970572199265380409e-01
5.019200138504155140e-01;6.474619113573407692e-01;6.336606215373958850e-01;5.000000000000000000e-01;6.152735457063713831e-01
4.667583461173206438e-01;4.408945138432319721e-01;5.937066257579078910e-01;5.000000000000000000e-01;5.660731244064574064e-01
4.991778564453124845e-01;6.102374267578124512e-01;6.118258666992187900e-01;6.045324707031249911e-01;5.634725952148437189e-01
4.830664327750113229e-01;4.555636034404704771e-01;6.094443186962427150e-01;5.739095744680851041e-01;6.210870303304665274e-01
5.076693725585937900e-01;6.027713012695312678e-01;5.970300292968749867e-01;5.000000000000000000e-01;5.711468505859375044e-01
5.005564081632651874e-01;6.893428571428570351e-01;6.963913469387752464e-01;5.213407346938775389e-01;5.997648979591838625e-01
4.734459233682334900e-01;5.715886054800622951e-01;5.965652149699263163e-01;5.000000000000000000e-01;5.898039652483847428e-01
4.896543209876539904e-01;6.359179012345678172e-01;6.675370370370368178e-01;6.376320987654322536e-01;6.139944444444441762e-01
5.075945051892628568e-01;6.737154364788767724e-01;6.911494659225774218e-01;5.673874397111186019e-01;5.862646145299360567e-01
5.403004790245318212e-01;6.710262737697781921e-01;6.010821599651617886e-01;5.928313253012050810e-01;6.548454057192626410e-01
4.968066845696036959e-01;5.325938089708229795e-01;5.868271882711568743e-01;5.179634199448394094e-01;5.078819494846856797e-01
4.988650894792446833e-01;5.231744709124376280e-01;5.690860373166028996e-01;4.543794726007255314e-01;5.019560173839164863e-01
4.970856015779089865e-01;5.153679158448386532e-01;5.409356673241290103e-01;4.752784023668638058e-01;5.045322485207103247e-01
5.114517301038062902e-01;5.196659169550172930e-01;5.447128027681660267e-01;4.667416955017300029e-01;5.113714532871973528e-01
4.955342058298631280e-01;5.270646044021417564e-01;5.792917311124330393e-01;6.008284354550863515e-01;5.077125520523498858e-01
4.928748647917793324e-01;5.779289480800432477e-01;5.301769537587884829e-01;4.676247295835588846e-01;4.650760546241211602e-01
4.936339994902210204e-01;5.458775773107102935e-01;5.474992938874767567e-01;4.650863523949268497e-01;5.059058562561570271e-01
4.949913523954987404e-01;5.389392646166977219e-01;6.002056332966464458e-01;4.631904045282004279e-01;5.036614182071383894e-01
4.987286959509916184e-01;5.311077775060961681e-01;5.253236166824166720e-01;4.774624804224133490e-01;5.093964155669070681e-01
4.820405724195034325e-01;5.825380805824181829e-01;5.830305894483588380e-01;5.058958115265042021e-01;5.266585948850943666e-01
5.061428309791441427e-01;5.093388429752068181e-01;5.464458231267600441e-01;5.009264897781644521e-01;5.080085162885467076e-01
4.857868997402788325e-01;5.470107204037650828e-01;5.399211626664704999e-01;4.711591666820166280e-01;5.148772311149588665e-01
4.770647518266567522e-01;5.178823381204333831e-01;5.230536659108089292e-01;5.105668934240362722e-01;5.987175610985135954e-01
4.784022247229916536e-01;6.308760387811636061e-01;6.366458189058171735e-01;6.241674601800553113e-01;6.034046052631580892e-01
4.753117913832199393e-01;6.457586923658351630e-01;6.145027084908037951e-01;5.000000000000000000e-01;5.925982615268331477e-01
4.949156746031744269e-01;6.041808390022673780e-01;6.152543934240363166e-01;5.000000000000000000e-01;6.551112528344671393e-01
5.218314255983350636e-01;5.933441727367325669e-01;6.100819458896983294e-01;6.179591571279916540e-01;5.715673777315296578e-01
