# RS;CS;LS;MS;PS
-1.972044664728364941e-02;1.257078066620057610e-01;9.373120852737236441e-02;2.768011753142218256e-01;7.655536688374128818e-02
-1.151338015408250211e-03;1.386319678023705503e-02;7.936563935803895090e-03;8.267181670636442048e-02;2.033376530894115408e-01
-8.884920498794055682e-03;2.052980253822572210e-01;2.419729975077768158e-01;5.409967178349594369e-02;2.957355828500921394e-02
1.389795788959223739e-02;9.806670020672680899e-02;2.306653270257360278e-01;2.232195530754080004e-01;7.559041236476449210e-02
-1.940100176391861561e-03;4.024342809747080696e-01;2.217145885267881034e-01;2.480729744510883072e-01;2.680426529079269482e-01
-9.586612195835432504e-03;2.973170257433076918e-02;1.285245164962545705e-01;7.357919889477440578e-02;4.450214861520885440e-02
-4.541008342361557530e-03;1.207201082766601319e-01;1.103852329400217130e-01;9.528636832350370622e-02;4.101979371895750348e-02
-6.490570125465534856e-03;-1.323257262626422945e-02;1.075991412736395925e-01;0.000000000000000000e+00;2.833791673997868715e-02
2.163242286171122505e-03;1.078604190769118509e-01;5.945137698848542568e-02;1.032930133203347894e-01;2.188862542603059111e-02
1.531675834981403818e-03;2.026432679584244667e-01;2.296479677719601986e-01;2.267730147842551836e-01;3.580241733520057174e-02
1.595125951143355411e-02;2.816560209485207134e-01;3.095043595774394363e-01;8.956958110878522616e-02;1.533564508120996150e-01
-1.146443205015064762e-02;6.141610174512182607e-02;2.019895425949308210e-01;-1.439772184226387891e-02;7.091252949384448112e-02
2.856946603864555026e-02;-3.490530717067230615e-02;2.318686115007693171e-01;-2.423940507990620524e-02;3.684445053695186573e-02
-4.032066289131656933e-03;1.925579018486436866e-01;2.426099441779333565e-01;1.178702714917911759e-01;1.832178174899697365e-01
1.428412672261970048e-03;2.043804369326999715e-01;1.373730062277894459e-01;2.663401362621824475e-01;1.647792091121714486e-01
-2.239082105142211655e-03;2.483727071644370454e-01;2.181565167339641065e-01;0.000000000000000000e+00;3.128894625658289463e-01
