# PS;GS;RS;LS;MS;CS
8.139151623632661092e-01;2.375952322583964674e-02;9.980852252124350343e-01;3.290920565362476236e-02;1.650918362369139469e+00;3.646698532505146528e-01
8.282836538339050092e-01;2.171550713418883213e-02;9.977863323101439086e-01;3.185018836908597856e-02;1.636128637230592542e+00;3.559050806811055456e-01
8.373310978406132143e-01;2.254809441802098705e-02;9.991476957181184559e-01;2.950119431265882386e-02;1.622952636636681545e+00;3.574132976501865899e-01
8.435189679341722480e-01;2.181499613383807920e-02;9.990968442075232048e-01;2.737149965223754575e-02;1.601249309481488137e+00;3.547493413839850063e-01
8.493747863407294929e-01;1.785469447297858073e-02;9.996360003544498829e-01;2.605992923324340627e-02;1.572262759679946997e+00;3.479900270627098169e-01
8.582432656966435536e-01;1.972203278210790320e-02;9.988778021620500214e-01;2.468132763797739951e-02;1.518515965946678259e+00;3.469238380667025168e-01
8.579358100249407926e-01;1.759253096613595801e-02;9.966000844172934192e-01;2.388775692887342914e-02;1.461630873086735116e+00;3.462794439044858952e-01
8.672047419653708955e-01;1.748506326652509921e-02;9.972226982153087338e-01;2.223694842108360492e-02;1.396353723262297120e+00;3.432432137354539115e-01
8.689198201380088360e-01;1.601237380263743557e-02;1.000724619505261037e+00;2.066966753482788605e-02;1.316947310974239560e+00;3.415823762752007164e-01
8.685150009720320474e-01;1.631535501352071593e-02;9.987741834966716858e-01;2.024759336065488913e-02;1.238788207666127184e+00;3.340700413018630188e-01
8.627714428546457981e-01;1.521745621302155078e-02;9.999930017584028885e-01;1.888870856840819609e-02;1.185932098848709870e+00;3.239922459833768920e-01
8.501025860979033455e-01;2.010568650573804628e-02;1.002257224176669848e+00;1.785701847029122838e-02;1.121883065481752206e+00;3.218251493345917202e-01
8.421078031810821374e-01;1.529512352590374144e-02;9.981387337889259248e-01;1.737284229704048541e-02;1.049728992569888941e+00;3.223043987286157153e-01
8.299481728641622258e-01;1.271040685344215250e-02;9.976234862044909280e-01;1.625578564229473305e-02;9.907846653439775775e-01;3.117683292206119838e-01
8.111771934463664069e-01;1.378013646902048576e-02;9.952449263010570979e-01;1.599269247502864769e-02;9.269367837656588005e-01;3.116951414727870961e-01
7.950842798730481942e-01;1.180098275721305073e-02;9.993643946070693840e-01;1.578072303479317526e-02;8.571695074732971209e-01;3.155141891744397964e-01
7.803572623262637897e-01;1.275545137691400620e-02;1.000279908566222842e+00;1.464185145440003583e-02;7.941833029569373981e-01;3.021503527768813480e-01
7.558480757592892507e-01;1.075153913260212812e-02;9.993208796018312468e-01;1.387461334609118614e-02;7.191697909241329123e-01;2.859787049625363564e-01
7.392100466357311994e-01;1.221432693596352474e-02;9.997834003424667104e-01;1.323961050384756324e-02;6.719231942858324702e-01;2.771245140189593781e-01
7.212126948913661906e-01;9.726056264387751560e-03;9.985995664535169958e-01;1.295606950072986444e-02;6.239902991722726666e-01;2.724510556123863614e-01
7.036373366106477567e-01;1.020359123679376659e-02;9.930905139987525887e-01;1.332339726982556885e-02;5.840372294447017110e-01;2.662980745737207333e-01
6.829437261512887325e-01;7.968960709573836079e-03;1.000924683177819352e+00;1.309221549776180653e-02;5.528884083093609236e-01;2.529634790453335058e-01
6.540391631815480888e-01;1.185771488321571421e-02;9.992335384340009785e-01;1.242234781124381543e-02;5.108639799482723731e-01;2.436549637130301371e-01
6.293290498541947997e-01;8.468640348724987624e-03;9.983703096140014166e-01;1.180385182108090875e-02;4.732849556579825645e-01;2.358783998997600329e-01
6.002463605464110064e-01;8.262395573982969296e-03;9.986111592564447248e-01;1.156198762174663434e-02;4.472622886714423540e-01;2.224014378334993047e-01
5.721898109333878324e-01;9.234020540676131372e-03;1.000105959885434492e+00;1.098493436153106032e-02;4.142444763491239801e-01;2.099355509119877339e-01
5.356914691255635352e-01;1.046894884495795652e-02;9.973232966972386260e-01;1.081811499775172866e-02;3.874537788377362402e-01;2.034811533885050316e-01
4.953560718001326357e-01;8.054801058440134998e-03;9.995555974352765549e-01;1.017888156566365380e-02;3.610044144836180857e-01;1.959246964480408082e-01
4.525373111857893815e-01;8.095151280480872985e-03;1.001370576072363683e+00;1.001044171541516301e-02;3.281771071533907680e-01;1.857120889004825748e-01
4.179432620031132140e-01;8.843310149438303805e-03;1.000847089435915382e+00;1.005359771582804880e-02;2.972636027345336718e-01;1.782813980210535831e-01
3.804837234351514663e-01;6.139951857493171350e-03;1.001654078576774243e+00;1.010632298252735727e-02;2.663838124098785731e-01;1.675728800339847668e-01
3.421657454816932065e-01;7.988421306891953580e-03;1.001087517893410661e+00;9.505405572162917496e-03;2.399679589613030462e-01;1.606172659014814819e-01
3.065189838188436267e-01;6.688176884487490731e-03;1.000565820661516225e+00;1.010303404061962083e-02;2.252069589653966919e-01;1.509349605962835017e-01
2.676684412788562506e-01;6.344891298718740788e-03;1.001270083892741303e+00;9.381839267014248709e-03;2.026737606424588722e-01;1.481366912567925742e-01
2.277023286224305332e-01;9.474160031393140391e-03;9.972454063788201983e-01;9.426872196556948871e-03;1.945076600367096342e-01;1.381592628810622558e-01
1.975303002260437313e-01;6.110934306933436290e-03;1.001528826445947429e+00;9.331186616715333310e-03;1.792590140963277734e-01;1.314747470436989640e-01
1.663745806173146380e-01;6.072776871459031889e-03;9.977296255133605296e-01;8.874348968780696942e-03;1.630385417342736787e-01;1.201366271925807944e-01
1.379239250667411154e-01;4.734873758555584351e-03;9.964797773828899530e-01;8.499925743922175786e-03;1.445743166042570693e-01;1.152514950167214391e-01
1.117237919705320048e-01;6.901557511564934515e-03;9.963968417112192277e-01;8.798709911099964615e-03;1.294314539227328364e-01;1.133645798426495127e-01
8.926201386971797935e-02;3.947958209513034201e-03;1.001734595684533380e+00;8.021470936968281770e-03;1.164711036694316970e-01;1.164655586092401274e-01
7.333223524377505131e-02;3.445845816983606098e-03;1.003681264603495160e+00;7.815241333374290528e-03;1.047878173310137079e-01;1.124565684662379300e-01
5.698504120586211918e-02;3.219740762810686160e-03;1.002065246037756374e+00;7.279656136002289092e-03;9.756230685007748205e-02;1.077758976835527654e-01
4.186260070067494149e-02;3.280454898037714860e-03;9.992033765225625253e-01;7.219682969897250890e-03;8.630324101721234542e-02;1.006522426522902247e-01
2.906351184038561200e-02;4.136638428491282160e-03;9.994065660738558066e-01;7.583992317421069801e-03;6.769279689562016089e-02;8.923322319601856289e-02
5.182000053701237702e-02;6.842801162464343112e-02;1.021120376575961552e+00;2.900789216054507069e-02;1.061137553649838527e-01;1.320625829257533468e-01
