# RS;CS;LS;MS;PS;HS:1:0;CoS
7.199399999999999977e+01;8.256499999999999773e+01;5.226299999999999812e+01;1.568300000000000125e+02;7.839100000000000534e+01;9.482200000000000273e+01;2.696999999999999886e+02
3.913300000000000267e+01;7.061299999999999955e+01;4.993299999999999983e+01;8.529500000000000171e+01;4.526299999999999812e+01;3.650659999999999172e+01;5.474300000000000210e+01
3.860099999999999909e+01;3.807900000000000063e+01;3.933400000000000318e+01;3.379599999999999937e+01;2.677599999999999980e+01;1.306465199999999705e+01;4.076299999999999812e+01
6.076200000000000045e+01;1.109300000000000068e+02;5.215800000000000125e+01;1.331999999999999886e+02;3.437700000000000244e+01;8.384404166666665503e+01;6.228999999999999915e+01
8.964000000000000057e+01;1.545900000000000034e+02;7.663200000000000500e+01;1.480200000000000102e+02;9.689900000000000091e+01;1.073971481481481334e+02;9.296599999999999397e+01
5.243999999999999773e+01;7.928700000000000614e+01;6.035499999999999687e+01;1.402899999999999920e+02;5.905599999999999739e+01;6.942312499999999886e+01;5.611299999999999955e+01
4.574199999999999733e+01;7.789100000000000534e+01;4.272999999999999687e+01;9.276900000000000546e+01;3.522299999999999898e+01;6.352815999999998553e+01;5.362599999999999767e+01
6.122099999999999653e+01;9.979500000000000171e+01;3.418900000000000006e+01;1.130199999999999960e+02;4.489699999999999847e+01;7.836139999999998906e+01;3.684799999999999898e+01
6.007300000000000040e+01;1.056400000000000006e+02;8.279500000000000171e+01;1.791800000000000068e+02;1.032600000000000051e+02;1.310380000000000109e+02;8.009000000000000341e+01
1.061400000000000006e+02;8.219100000000000250e+01;6.920000000000000284e+01;1.539000000000000057e+02;8.787900000000000489e+01;7.198449999999999704e+01;1.819900000000000091e+02
5.220600000000000307e+01;4.625099999999999767e+01;4.027300000000000324e+01;8.545699999999999363e+01;4.318599999999999994e+01;8.966074999999999307e+01;3.740500000000000114e+01
7.976000000000000512e+01;1.373600000000000136e+02;6.136299999999999955e+01;1.656100000000000136e+02;7.319199999999999307e+01;8.109599999999998943e+01;7.616700000000000159e+01
1.925200000000000102e+02;2.061699999999999875e+02;1.626699999999999875e+02;3.174499999999999886e+02;1.830600000000000023e+02;1.642532000000000210e+02;1.939900000000000091e+02
1.241099999999999994e+02;1.290200000000000102e+02;1.161099999999999994e+02;2.064000000000000057e+02;1.206700000000000017e+02;1.139777199999999766e+02;1.279899999999999949e+02
5.018200000000000216e+01;6.364699999999999847e+01;2.765299999999999869e+01;1.141599999999999966e+02;3.414200000000000301e+01;5.971795999999999793e+01;1.437400000000000091e+02
5.068299999999999983e+01;3.659799999999999898e+01;2.817599999999999838e+01;1.095300000000000011e+02;4.100000000000000000e+01;6.954975999999999203e+01;3.490400000000000205e+02
5.168099999999999739e+01;1.051400000000000006e+02;4.900999999999999801e+01;1.348300000000000125e+02;4.239900000000000091e+01;5.103795833333333576e+01;4.860600000000000165e+01
3.491499999999999915e+01;9.639300000000000068e+01;3.211800000000000210e+01;1.150900000000000034e+02;3.385600000000000165e+01;8.230304166666667243e+01;3.189600000000000080e+01
1.577199999999999989e+02;1.377199999999999989e+02;1.241899999999999977e+02;1.277999999999999972e+02;1.264899999999999949e+02;1.033739999999999810e+02;1.430099999999999909e+02
5.382800000000000296e+01;6.729099999999999682e+01;6.335699999999999932e+01;5.882900000000000063e+01;5.827300000000000324e+01;5.002652000000000498e+01;6.225900000000000034e+01
6.040699999999999648e+01;6.449200000000000443e+01;6.225500000000000256e+01;6.632999999999999829e+01;5.505199999999999960e+01;4.710495999999999839e+01;9.552299999999999613e+01
9.695300000000000296e+01;1.026599999999999966e+02;8.603300000000000125e+01;1.316200000000000045e+02;6.915900000000000603e+01;8.690438461538460047e+01;9.169499999999999318e+01
8.739100000000000534e+01;9.672899999999999920e+01;8.815300000000000580e+01;1.049300000000000068e+02;9.226900000000000546e+01;8.715292000000000883e+01;1.391399999999999864e+02
6.721099999999999852e+01;9.243999999999999773e+01;8.094899999999999807e+01;1.078599999999999994e+02;6.759499999999999886e+01;8.368824999999999648e+01;8.580700000000000216e+01
9.580899999999999750e+01;1.127099999999999937e+02;9.084600000000000364e+01;1.103199999999999932e+02;1.185900000000000034e+02;8.250196000000001106e+01;1.008299999999999983e+02
8.151600000000000534e+01;8.904900000000000659e+01;7.180599999999999739e+01;9.790300000000000580e+01;7.340699999999999648e+01;7.434115999999997371e+01;8.592799999999999727e+01
9.557699999999999818e+01;1.105999999999999943e+02;8.589900000000000091e+01;9.273900000000000432e+01;8.257399999999999807e+01;8.369004166666667288e+01;1.392199999999999989e+02
9.450100000000000477e+01;1.701399999999999864e+02;1.354699999999999989e+02;1.589600000000000080e+02;1.701699999999999875e+02;9.864868000000001302e+01;1.176800000000000068e+02
7.017900000000000205e+01;6.242799999999999727e+01;5.431900000000000261e+01;7.829800000000000182e+01;4.378799999999999670e+01;7.958460000000000889e+01;6.243800000000000239e+01
7.052800000000000580e+01;6.407699999999999818e+01;5.401400000000000290e+01;6.024799999999999756e+01;4.124799999999999756e+01;9.134475000000000477e+01;9.976099999999999568e+01
8.117900000000000205e+01;1.079899999999999949e+02;5.015299999999999869e+01;8.775000000000000000e+01;6.798499999999999943e+01;8.010220000000001050e+01;7.051900000000000546e+01
8.069199999999999307e+01;8.188599999999999568e+01;7.982500000000000284e+01;8.984099999999999397e+01;6.849500000000000455e+01;8.706028000000000588e+01;1.120100000000000051e+02
9.403100000000000591e+01;1.023400000000000034e+02;1.075400000000000063e+02;1.017199999999999989e+02;8.058400000000000318e+01;8.427416666666665890e+01;1.126500000000000057e+02
1.103299999999999983e+02;1.102800000000000011e+02;1.173400000000000034e+02;1.207999999999999972e+02;9.918099999999999739e+01;7.629311538461539044e+01;1.266700000000000017e+02
4.238600000000000279e+01;5.968999999999999773e+01;2.558699999999999974e+01;8.571299999999999386e+01;6.355299999999999727e+01;8.659496000000001459e+01;3.914900000000000091e+01
1.169699999999999989e+02;1.600800000000000125e+02;1.434399999999999977e+02;1.972100000000000080e+02;1.444000000000000057e+02;9.410137499999999022e+01;4.737300000000000182e+02
1.027399999999999949e+02;1.182999999999999972e+02;8.755100000000000193e+01;1.161500000000000057e+02;8.685399999999999920e+01;8.244450000000000500e+01;8.412399999999999523e+01
8.154999999999999716e+01;6.977400000000000091e+01;5.860799999999999699e+01;7.172199999999999420e+01;1.799499999999999886e+02;8.375225000000001785e+01;6.421999999999999886e+01
5.317799999999999727e+01;3.928099999999999881e+01;4.503799999999999670e+01;8.133499999999999375e+01;4.018500000000000227e+01;9.357687499999998693e+01;5.124000000000000199e+01
4.126500000000000057e+01;3.295199999999999818e+01;3.349699999999999989e+01;5.791599999999999682e+01;3.293999999999999773e+01;6.014460000000001116e+01;3.664099999999999824e+01
3.307099999999999795e+01;2.439099999999999824e+01;2.510999999999999943e+01;3.617999999999999972e+01;2.652899999999999991e+01;8.470324000000000808e+01;2.936799999999999855e+01
8.148600000000000421e+01;7.349299999999999500e+01;7.835899999999999466e+01;1.051500000000000057e+02;6.201599999999999824e+01;1.103508000000000209e+02;7.465000000000000568e+01
5.665599999999999881e+01;5.606600000000000250e+01;4.671600000000000108e+01;8.002100000000000080e+01;5.922299999999999898e+01;5.906896551724138078e+01;6.254399999999999693e+01
