# RS;CS;LS;MS;PS
-1.209014312504659572e-02;3.933170220307444231e-01;5.938625339795382541e-01;2.246117804605227419e-01;-5.719315679913755278e-04
5.819378892642901313e-02;2.943684697766335012e-01;7.201139719403956141e-01;-5.000000000000000000e-01;2.989382965444022794e-02
2.491123796094810994e-01;4.230548529431482074e-01;4.370769053273994564e-01;6.517818665042565129e-01;-6.778170045537189325e-02
-7.234774434952455369e-02;6.954746249735335173e-01;1.288867074605599683e+00;4.728500089006520968e-01;1.222929732921521073e-01
8.123890794489163625e-02;8.414649339601733002e-01;1.006065364232344495e+00;7.439071733557262034e-03;1.947252686500610674e-01
2.288885259880286960e-02;5.061192742179272397e-01;6.352825765296500338e-01;-1.176656087148896385e-01;-4.916670672365103245e-02
9.519021463631635593e-03;1.039290656006287838e-02;8.500276895667157051e-01;5.236022779907850699e-02;-6.595509604597085684e-02
6.881032701745594393e-02;3.936565970223230293e-01;5.564104977226901338e-01;3.672574191019224998e-01;1.459802106771952435e-01
3.683865209732548052e-02;1.597717440204537431e-01;1.054518107808216365e-01;1.575706113297817845e-01;1.693914405045475191e-01
-7.737575240518225483e-02;4.996465392701555097e-01;4.727207150744369701e-01;0.000000000000000000e+00;3.914546056886109016e-01
6.516876047479588929e-02;-4.844728679443261577e-05;-5.354546491902642535e-02;-2.301782856542894384e-02;9.747806166683899154e-02
9.981845826856201864e-02;1.566166758662909664e-01;3.768019310140497957e-01;1.341135665543899125e-01;5.476432585984661316e-02
-1.446009906638801579e-01;3.477960551216898732e-01;6.174288320397862684e-01;-2.041090420905490310e-01;4.931590960989659655e-01
1.041221459247805708e-01;1.265031843717186744e-01;1.571764714518266715e-01;3.688249230519497629e-02;2.505332829552873175e-01
-1.553654262832340066e-02;2.767860493312779280e-01;2.946052467015594645e-01;3.635264175622137522e-02;2.435283438038807202e-01
1.632620316596119364e-02;1.058366567860142687e-01;1.893504540592551022e-01;-4.120067127819091596e-02;3.228791116330906319e-01
-3.769929225185614068e-03;5.727427159953773356e-02;1.732120865064022686e-01;5.615881881867703512e-02;3.993842142440887262e-03
8.240743353128336668e-02;2.092560876334571551e-01;2.423923216859209528e-01;0.000000000000000000e+00;4.431472783635024282e-01
-6.874015841966424345e-02;1.638540768403460024e-01;2.896314212437906543e-01;2.978701863786684112e-01;3.495371374992124747e-02
-3.972412440454635429e-02;-7.657643210044351445e-02;1.743400294454013899e-01;3.595262601728730356e-01;3.761313494705038618e-01
3.871110861926623653e-02;7.195153548039839864e-01;5.143254161335958363e-01;5.121457538640040719e-01;3.178942869569693075e-01
9.191282774925424448e-02;4.721251316254008179e-01;3.039840434685237014e-01;5.694296334802613213e-01;5.098677885321005743e-01
